NAICS-6,NAICS-6 Title,Capability Domain (D),Primary Output (P),Mapping Status,D Rationale,P Rationale,Notes / Caveats
334310,Audio and Video Equipment Manufacturing,D6,P3,Mapped,Audio and public-address equipment supports communications -> D6,Amplifiers and speaker systems are functional equipment -> P3,No override signal; definition-based default
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",D9,P2,Mapped,Coating and engraving are specialized surface processes -> D9,Coated or engraved articles leave as finished components -> P2,No override signal; definition-based default
332618,Other Fabricated Wire Product Manufacturing,D9,P2,Mapped,Residual wire-product fabrication is a metal-process capability -> D9,Wire products are finished components -> P2,Broad residual product code; noninsulated cable may require D7 override
332114,Custom Roll Forming,D9,P2,Mapped,Custom roll forming is a specialized metal-forming process -> D9,Roll-formed products are finished components -> P2,No override signal; definition-based default
339920,Sporting and Athletic Goods Manufacturing,D10,P3,Mapped,Finished sporting goods fit general outfit rather than a system domain -> D10,Sporting goods are bounded finished articles -> P3,Broad nonship product code; confirm actual naval application
327910,Abrasive Product Manufacturing,D9,P1,Mapped,Abrasives are specialized process materials and consumables -> D9,Abrasives are consumable production inputs -> P1,No override signal; definition-based default
326299,All Other Rubber Product Manufacturing,D9,P2,Mapped,Residual rubber manufacturing is a material-process capability -> D9,Finished rubber products are most defensibly components -> P2,Broad residual product code; confirm tubing and complete-product exceptions
333994,Industrial Process Furnace and Oven Manufacturing,D5,P3,Mapped,Industrial furnaces and ovens provide process heat -> D5,Furnaces and ovens are functional equipment -> P3,No override signal; definition-based default
333996,Fluid Power Pump and Motor Manufacturing,D4,P3,Mapped,Hydraulic and pneumatic pumps and motors control fluid power -> D4,Pumps and motors are bounded functional equipment -> P3,No override signal; definition-based default
321213,Engineered Wood Member (except Truss) Manufacturing,D1,P2,Mapped,Engineered wood members are structural components -> D1,Laminated members are fit-ready structural components -> P2,No override signal; definition-based default
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",D11,P6,Partial,"Rental inventory is construction equipment, not a ship domain -> D11 (services / non-material support; no single technical ship domain)",Rental is a service handoff -> P6,No override signal; definition-based default
325510,Paint and Coating Manufacturing,D9,P1,Mapped,Paints and coatings are specialty process materials -> D9,Coatings are consumable process inputs -> P1,No override signal; definition-based default
314910,Textile Bag and Canvas Mills,D10,P2,Mapped,"Canvas covers, sails, and bags are general outfit -> D10",Canvas products are finished components -> P2,Broad textile code; confirm sail or protective-cover application
332311,Prefabricated Metal Building and Component Manufacturing,D1,P2,Mapped,Prefabricated metal panels and sections are structural products -> D1,Panels and sections are the defensible lower output form -> P2,Complete-building or module interpretations require entity evidence for P5
811210,Electronic and Precision Equipment Repair and Maintenance,D11,P6,Partial,"Repair scope spans computers, communications, radar, and instruments -> D11 (services / non-material support; no single technical ship domain)",Repair and maintenance are service handoffs -> P6,No override signal; technical domain requires repaired-item evidence
444130,Hardware Stores,D10,P0,Partial,General hardware supports outfit and production activities -> D10,Hardware items span parts and complete tools -> P0,Legacy retail code; output form is mixed
561621,Security Systems Services (except Locksmiths),D6,P6,Mapped,Alarm and monitoring systems support sensing and communications -> D6,Security-system service is the principal handoff -> P6,Single unresolved override is entity-specific; definition is service-led
532310,General Rental Centers,D11,P6,Partial,General rental inventory spans unrelated technical domains -> D11 (services / non-material support; no single technical ship domain),Rental is a service handoff -> P6,No override signal; definition-based default
339950,Sign Manufacturing,D10,P2,Mapped,Signs and displays are finished general outfit -> D10,Signs install as finished components -> P2,No override signal; definition-based default
541620,Environmental Consulting Services,D11,P6,Partial,"Environmental consulting spans air, water, and remediation topics -> D11 (services / non-material support; no single technical ship domain)",Consulting reports and recommendations are work products -> P6,No override signal; technical domain requires project evidence
488330,Navigational Services to Shipping,D11,P6,Partial,"Piloting, tug, and salvage services are not installed ship domains -> D11 (services / non-material support; no single technical ship domain)",Marine navigation assistance is a service handoff -> P6,No override signal; definition-based default
561622,Locksmiths,D10,P6,Mapped,"Locks, safes, and vaults are general outfit -> D10",Locksmith work is the principal handoff -> P6,Mixed product and service code; service default selected
238220,"Plumbing, Heating, and Air-Conditioning Contractors",D11,P6,Partial,Plumbing and HVAC work spans D4 and D5 -> D11 (services / non-material support; no single technical ship domain),Contractual handoff is installed-service work -> P6,No override signal; technical domain requires trade-specific evidence
562211,Hazardous Waste Treatment and Disposal,D11,P6,Partial,Hazardous-waste operations have no ship technical domain -> D11 (services / non-material support; no single technical ship domain),Treatment and disposal are service handoffs -> P6,No override signal; definition-based default
423740,Refrigeration Equipment and Supplies Merchant Wholesalers,D5,P3,Mapped,Refrigeration equipment supports thermal conditioning -> D5,Refrigeration machines are functional equipment -> P3,R1/P3 is a legitimate distributor exception requiring review
531120,Lessors of Nonresidential Buildings (except Miniwarehouses),D11,P6,Partial,Real-estate leasing has no technical ship domain -> D11 (services / non-material support; no single technical ship domain),Leasing is a service handoff -> P6,No override signal; definition-based default
524291,Claims Adjusting,D11,P6,Partial,Claims adjusting has no technical ship domain -> D11 (services / non-material support; no single technical ship domain),Claims work is a service handoff -> P6,No override signal; definition-based default
325120,Industrial Gas Manufacturing,D4,P1,Mapped,Compressed and liquid gases are fluid-system commodities -> D4,Industrial gases are bulk consumable inputs -> P1,No override signal; definition-based default
423490,Other Professional Equipment and Supplies Merchant Wholesalers,D0,P0,Partial,Professional equipment assortment spans instruments and supplies -> D0,"Merchandise spans components, equipment, and consumables -> P0",No override signal; commodity and output form are mixed
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,D0,P0,Partial,Construction and mining machinery is not a ship technical domain -> D0,Merchandise spans complete equipment and components -> P0,No override signal; output form is mixed
238350,Finish Carpentry Contractors,D10,P6,Mapped,Ship joinery and finish carpentry support interiors -> D10,Joinery installation is a service handoff -> P6,No override signal; definition-based default
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,D9,P1,Mapped,Plastic foam production is a specialty material process -> D9,Foam products are most defensibly material inputs -> P1,No override signal; definition-based default
561311,Employment Placement Agencies,D11,P6,Partial,Employment placement has no technical ship domain -> D11 (services / non-material support; no single technical ship domain),Placement activity is a service handoff -> P6,No override signal; definition-based default
